Individual,size,scale,bmd
Avulsa_H,30,D19,47.87429625
Avulsa_H,30,D20,47.11501214
Avulsa_H,30,D21,48.0366119
Avulsa_H,30,UL19,51.28224586
Avulsa_H,30,UL20,51.11653448
Avulsa_H,30,UL21,50.19153899
Avulsa_B,32,D19,40.81118825
Avulsa_B,32,D20,41.5378734
Avulsa_B,32,D21,42.59598131
Avulsa_B,32,UL19,39.62064706
Avulsa_B,32,UL20,41.04753071
Avulsa_B,32,UL21,40.01862603
Avulsa_D5,34,D19,55.4664582
Avulsa_D5,34,D20,55.85289171
Avulsa_D5,34,D21,55.2430195
Avulsa_D5,34,UL19,56.60945924
Avulsa_D5,34,UL20,55.90654416
Avulsa_D5,34,UL21,56.36564618
Avulsa_X36,36,D19,45.14684993
Avulsa_X36,36,D20,44.67144843
Avulsa_X36,36,D21,44.83036836
Avulsa_X36,36,UL19,44.38756582
Avulsa_X36,36,UL20,44.48264612
Avulsa_X36,36,UL21,45.26366287
Avulsa_M,86,D19,54.79617295
Avulsa_M,86,D20,54.49147471
Avulsa_M,86,D21,55.8354796
Avulsa_M,86,UL19,53.68592873
Avulsa_M,86,UL20,55.12324746
Avulsa_M,86,UL21,55.52792481
Avulsa_L,124,D19,48.12232931
Avulsa_L,124,D20,48.56128521
Avulsa_L,124,D21,47.89285345
Avulsa_L,124,UL19,49.30303499
Avulsa_L,124,UL20,49.4134881
Avulsa_L,124,UL21,50.76130172
Avulsa_XL,160,D19,77.19043677
Avulsa_XL,160,D20,75.19202136
Avulsa_XL,160,D21,73.57924327
Avulsa_XL,160,UL19,75.12413815
Avulsa_XL,160,UL20,75.90838236
Avulsa_XL,160,UL21,73.27432073
Avulsa_M_K,126,D19,50.8968243
Avulsa_M_K,126,D20,52.35215576
Avulsa_M_K,126,D21,51.81435322
Avulsa_M_K,126,UL19,52.49047238
Avulsa_M_K,126,UL20,51.85559048
Avulsa_M_K,126,UL21,54.02484192
Avulsa_Q_K,128,D19,51.35644787
Avulsa_Q_K,128,D20,52.90542226
Avulsa_Q_K,128,D21,53.42776083
Avulsa_Q_K,128,UL19,47.45007706
Avulsa_Q_K,128,UL20,48.00849822
Avulsa_Q_K,128,UL21,50.09269782
Avulsa_R_K,105,D19,43.42423658
Avulsa_R_K,105,D20,44.39674797
Avulsa_R_K,105,D21,44.86410326
Avulsa_R_K,105,UL19,42.07629456
Avulsa_R_K,105,UL20,42.55481827
Avulsa_R_K,105,UL21,39.94398602
Avulsa_X_K,125,D19,50.8331926
Avulsa_X_K,125,D20,51.76188942
Avulsa_X_K,125,D21,51.98182133
Avulsa_X_K,125,UL19,49.27390976
Avulsa_X_K,125,UL20,50.94573587
Avulsa_X_K,125,UL21,52.48440009
