indiv,trial,length,wavelength,speed,frequency,period,stride,wavespeed,amplitude
Av10,2291,40,0.02642,0.3567,13.5,0.0741,0.0264,0.356714,0.00194
Av10,2330,40,0.024,0.4695,19.57,0.0511,0.024,0.4695,0.00473
Av10,2385,40,0.026,0.4868,18.75,0.0533,0.026,0.4868,0.00304
Av10,2386,40,0.0221,0.4425,20,0.05,0.0221,0.4425,0.00483
Av08,2114,44,0.0228,0.3965,17.42,0.0574,0.0228,0.3965,0.00583
Av08,2215,44,0.0226,0.406,18,0.0556,0.0226,0.406,0.0016977
Av08,2219,44,0.0087,0.1808,20.77,0.0481,0.0087,0.1808,0.00499
Av08,2235,44,0.0199,0.3767,18.89,0.0529,0.0199,0.3767,0.00426
Av09,2183,52,0.032,0.6136,19.2,0.0521,0.032,0.6136,0.00626
Av09,2184,52,0.0307,0.5178,16.88,0.0593,0.0307,0.5178,0.00465
Av09,2185,52,0.0249,0.4924,19.74,0.0507,0.0249,0.4924,0.0046
Av09,2187,52,0.0302,0.571,18.89,0.0529,0.0302,0.517,0.00596
Av11,2199,55,0.05553,0.6478,11.67,0.0857,0.0555,0.647841,0.00923
Av11,2242,55,0.03957,0.6307,15.94,0.0627,0.0396,0.630659,0.00584
Av11,2244,55,0.03497,0.4937,14.12,0.0708,0.035,0.493733,0.0024
Av11,2301,55,0.03596,0.4315,12,0.0833,0.036,0.431491,0.0039
Av05,2030,75,0.04713,0.8248,17.5,0.0571,0.0471,0.82483,0.00535
Av05,2038,75,0.04885,0.4885,10,0.1,0.0489,0.488534,0.00533
Av05,2091,75,0.02523,0.2981,11.82,0.0846,0.0252,0.298131,0.00313
Av05,2095,75,0.05893,0.5381,9.13,0.1095,0.0589,0.538077,0.00675
Av06,2046,91,0.0951,0.5874,6.18,0.1619,0.0951,0.587362,0.00804
Av06,2130,91,0.07196,0.8889,12.35,0.081,0.072,0.888918,0.00857
Av06,2173,91,0.06774,0.871,12.86,0.0778,0.0677,0.870984,0.00735
Av06,2227,91,0.06646,0.8545,12.86,0.0778,0.0665,0.854454,0.00941
Av07,1988,103,0.06886,0.6886,10,0.1,0.0689,0.688616,0.00902
Av07,1991,103,0.06835,0.8202,12,0.0833,0.0684,0.820222,0.00725
Av07,1994,103,0.06594,0.3733,5.66,0.1767,0.0659,0.37326,0.01041
Av07,1997,103,0.05325,0.4792,9,0.1111,0.0532,0.479221,0.00729
Av12,2364,112,0.09253,1.0409,11.25,0.0889,0.0925,1.040912,0.01561
Av12,2416,112,0.07157,0.7157,10,0.1,0.0716,0.715695,0.00697
Av12,2417,112,0.08484,0.996,11.74,0.0852,0.0848,0.995997,0.01376
Av12,2419,112,0.067,0.773,11.54,0.0867,0.067,0.773027,0.01012
Av16,2463,140,0.05064,0.5909,11.67,0.0857,0.0506,0.590854,0.00947
Av16,2464,140,0.03665,0.3792,10.34,0.0967,0.0367,0.379158,0.00725
Av16,2465,140,0.08063,0.8063,10,0.1,0.0806,0.806259,0.00997
Av16,2602,140,0.08097,0.9716,12,0.0833,0.081,0.971639,0.01221
Av20,2505,143,0.07692,0.5245,6.82,0.1467,0.0769,0.524457,0.01293
Av20,2518,143,0.10155,0.6303,6.21,0.1611,0.1015,0.630281,0.01785
Av20,2522,143,0.08188,0.5263,6.43,0.1556,0.0819,0.526346,0.01123
Av20,2638,143,0.06839,0.7181,10.5,0.0952,0.0684,0.718052,0.01114
Av17,2537,143,0.07879,0.5673,7.2,0.1389,0.0788,0.567257,0.01864
Av17,2611,143,0.09034,0.7971,8.82,0.1133,0.0903,0.797146,0.01847
Av17,2614,143,0.08497,0.7283,8.57,0.1167,0.085,0.728288,0.02026
Av17,2703,143,0.07608,0.7337,9.64,0.1037,0.0761,0.733673,0.01871
Av18,2742,144,0.10443,0.9257,8.86,0.1128,0.1044,0.925657,0.01255
Av18,2903,144,0.10013,0.9763,9.75,0.1026,0.1001,0.976274,0.01633
Av18,2909,144,0.08549,0.7124,8.33,0.12,0.0855,0.712404,0.01164
Av18,2910,144,0.08783,0.9058,10.31,0.097,0.0878,0.90578,0.01056
Av19,2630,146,0.1205,1.3389,11.11,0.09,0.1205,1.338882,0.01395
Av19,2780,146,0.09895,0.9895,10,0.1,0.099,0.989505,0.01423
Av19,2784,146,0.09182,0.7871,8.57,0.1167,0.0918,0.78706,0.014
Av19,2786,146,0.09529,0.7941,8.33,0.12,0.0953,0.79406,0.01414
Av15,2454,148,0.10063,1.0063,10,0.1,0.1006,1.006262,0.01369
Av15,2524,148,0.10467,1.256,12,0.0833,0.1047,1.255983,0.01821
Av15,2526,148,0.12139,1.0621,8.75,0.1143,0.1214,1.062145,0.01898
Av15,2968,148,0.1055,0.9043,8.57,0.1167,0.1055,0.904319,0.01668
Av13,2441,155,0.09445,0.9015,9.55,0.1048,0.0944,0.901521,0.01835
Av13,2571,155,0.1093,0.5366,4.91,0.2037,0.1093,0.536555,0.01249
Av13,2874,155,0.11863,0.8277,6.98,0.1433,0.1186,0.827674,0.01235
Av13,2944,155,0.09113,0.7389,8.11,0.1233,0.0911,0.738862,0.01124
Av14,2423,162,0.07849,0.554,7.06,0.1417,0.0785,0.554041,0.02082
Av14,2429,162,0.10562,1.2675,12,0.0833,0.1056,1.267477,0.02041
Av14,2556,162,0.09875,0.5256,5.32,0.1879,0.0988,0.525618,0.0147
Av14,2651,162,0.08979,0.5986,6.67,0.15,0.0898,0.59862,0.02049
